Field,FieldRef,FieldSize,Action,Date,Category,Type,Description,Crop,Operator,Area_Hctrs,QtyPerHctr,CostPerHctr,TotalQty,UoM,Total,Comment,Weather,WindSpeed,TimeIn,TimeOut,GrowthStage
Steeraway Field,6033,9.08,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,9.08,111.00,28.42,1007.88,Kgs,258.02,,,,,,
Bridge Field Steeraway,5933,1.73,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,1.73,111.00,28.42,192.03,Kgs,49.16,,,,,,
Front House Huntington,3303,2.44,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,2.44,44.00,11.26,107.36,Kgs,27.48,,,,,,
Cow Field Huntington,9302,7.77,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,7.77,44.00,11.26,341.88,Kgs,87.52,,,,,,
Upper New Works Steeraway,SJ6600,13.99,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,13.99,256.00,65.54,3581.44,Kgs,916.85,,,,,,
Lower New Works Steeraway,SJ6550,4.11,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,4.11,44.00,11.27,180.84,Kgs,46.30,,,,,,
Hospital Steeraway,7520,7.13,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,7.13,211.00,54.02,1504.43,Kgs,385.13,,,,,,
Swans Leasow (Pt A),#6001,6.97,"Geronimo ",14/04/2017,Seeds,Fodder Beet,"Geronimo ",,Sean Lewis,4.05,2.22,200.02,8.99,Pack,810.09,,,,,,
Experimental (Part A) Steeraway,#3306,4.95,TSP 0N 46P 0K (del June 2016),14/04/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Sean Lewis,4.95,111.00,28.42,549.45,Kgs,140.66,,,,,,
Adney Middle Field (Pt A),#3548,3.36,Prosaro Prothioconazale+Tebuco,15/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,3.36,0.60,20.86,2.02,Litres,70.10,,Cloudy,0.75,07:39,08:08,49
Adney Middle Field (Pt A),#3548,3.36,Justice proquinazid,15/04/2017,Chemicals,Fungicides,Justice proquinazid,,Sean Lewis,3.36,0.13,8.75,0.42,Litres,29.40,,Cloudy,0.75,07:39,08:08,49
Adney Middle Field (Pt A),#3548,3.36,Bugle fluxapyroxad,15/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,3.36,0.65,14.79,2.18,Litres,49.69,,Cloudy,0.75,07:39,08:08,49
Adney Loaders (Split A),#5964,4.18,Prosaro Prothioconazale+Tebuco,15/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,4.18,0.60,20.86,2.51,Litres,87.19,,Cloudy,0.75,07:39,08:08,49
Adney Loaders (Split A),#5964,4.18,Justice proquinazid,15/04/2017,Chemicals,Fungicides,Justice proquinazid,,Sean Lewis,4.18,0.13,8.76,0.52,Litres,36.61,,Cloudy,0.75,07:39,08:08,49
Adney Loaders (Split A),#5964,4.18,Bugle fluxapyroxad,15/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,4.18,0.65,14.79,2.72,Litres,61.81,,Cloudy,0.75,07:39,08:08,49
Hospital Steeraway,7520,7.13,Yara Prilled 34.5% del Nov 2016,18/04/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,7.13,188.00,34.22,1340.44,Kgs,243.96,,,,,,
Swans Leasow (Pt A),#6001,6.97,Pyramin DF Chloridazon,18/04/2017,Chemicals,Herbicide,Pyramin DF Chloridazon,,Sean Lewis,4.05,2.00,19.08,8.10,Kgs,77.28,,Clear,0.2,16:08,16:25,
Adney Middle Field (Pt A),#3548,3.36,Yara Prilled 34.5% del Nov 2016,18/04/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,3.36,188.00,34.22,631.68,Kgs,114.97,,,,,,
Adney Loaders (Split A),#5964,4.18,Yara Prilled 34.5% del Nov 2016,18/04/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,4.18,188.00,34.22,785.84,Kgs,143.02,,,,,,
Opposite Rhodes (Part A) Huntington,#3301,8.5,Yara Prilled 34.5% del Nov 2016,18/04/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,8.50,188.00,34.22,1598.00,Kgs,290.84,,,,,,
Wellington Road (Part A) Huntington,#3291,4.84,Yara Prilled 34.5% del Nov 2016,18/04/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,4.84,188.00,34.22,909.92,Kgs,165.61,,,,,,
Back of Pub (Part A) Huntington,#3289,3.28,Yara Prilled 34.5% del Nov 2016,18/04/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,2.97,616.64,112.23,1832.65,Kgs,333.54,,,,,,
Hospital Steeraway,7520,7.13,Prosaro Prothioconazale+Tebuco,19/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,7.13,0.60,20.86,4.28,Litres,148.75,,Cloudy,0.5,12:00,14:15,61
Lower New Works Steeraway,SJ6550,4.11,Tubosan tebuconazole,19/04/2017,Chemicals,Fungicides,Tubosan tebuconazole,,Sean Lewis,4.11,0.55,5.25,2.27,Litres,21.56,,Cloudy,0.5,15:15,16:15,69
Upper New Works Steeraway,SJ6600,13.99,Tubosan tebuconazole,19/04/2017,Chemicals,Fungicides,Tubosan tebuconazole,,Sean Lewis,13.99,0.55,5.24,7.72,Litres,73.36,,Cloudy,0.5,15:15,16:15,69
Hospital Steeraway,7520,7.13,Manzi,19/04/2017,Chemicals,Fungicides,Manzi,,Sean Lewis,7.13,2.00,7.08,14.26,Litres,50.48,,Cloudy,0.5,12:00,14:15,61
Lower New Works Steeraway,SJ6550,4.11,Manzi,19/04/2017,Chemicals,Fungicides,Manzi,,Sean Lewis,4.11,2.00,7.08,8.22,Litres,29.10,,Cloudy,0.5,15:15,16:15,69
Upper New Works Steeraway,SJ6600,13.99,Manzi,19/04/2017,Chemicals,Fungicides,Manzi,,Sean Lewis,13.99,2.00,7.08,27.98,Litres,99.05,,Cloudy,0.5,15:15,16:15,69
Hospital Steeraway,7520,7.13,Bugle fluxapyroxad,19/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,7.13,0.65,14.79,4.64,Litres,105.45,,Cloudy,0.5,12:00,14:15,61
Lower New Works Steeraway,SJ6550,4.11,Alteril Excel 720 chlorothalonil,19/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,4.11,0.83,5.39,3.41,Litres,22.15,,Cloudy,0.5,15:15,16:15,69
Upper New Works Steeraway,SJ6600,13.99,Alteril Excel 720 chlorothalonil,19/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,13.99,0.83,5.39,11.60,Litres,75.39,,Cloudy,0.5,15:15,16:15,69
Black Britch (Split A),#5966,6.65,Belcocel 700 chlormequat,19/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,6.65,1.00,1.45,6.65,Litres,9.64,,Cloudy,0.2,17:50,18:31,38
Black Britch (Split A),#5966,6.65,Modan trinexapac-ethyl,19/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,6.65,0.15,4.65,1.00,Litres,30.94,,Cloudy,0.2,17:50,18:31,38
Black Britch (Split A),#5966,6.65,Hurler fluroxypyr,19/04/2017,Chemicals,Herbicide,Hurler fluroxypyr,,Sean Lewis,6.65,0.50,3.00,3.33,Litres,19.95,,Cloudy,0.2,17:50,18:31,38
Black Britch (Split A),#5966,6.65,"Velogy Plus ",19/04/2017,Chemicals,Fungicides,"Velogy Plus ",,Sean Lewis,6.65,0.75,13.69,4.98,Litres,91.05,,Cloudy,0.2,17:50,18:31,38
Black Britch (Split A),#5966,6.65,Apache chlorothalonil cyproconazole propiconazole,19/04/2017,Chemicals,Fungicides,Apache chlorothalonil cyproconazole propiconazole,,Sean Lewis,6.65,1.50,27.37,9.96,Litres,181.98,,Cloudy,0.2,17:50,18:31,38
"Bayley Hills N (A) ",#1978,19.12,Osiris P epoxiconazole metconazole,19/04/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,19.12,1.00,25.40,19.12,Litres,485.65,,Cloudy,0.5,09:24,10:26,38
"Bayley Hills N (A) ",#1978,19.12,Belcocel 700 chlormequat,19/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,19.12,1.00,1.45,19.12,Litres,27.72,,Cloudy,0.5,09:24,10:26,38
"Bayley Hills N (A) ",#1978,19.12,Modan trinexapac-ethyl,19/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,19.12,0.10,3.10,1.91,Litres,59.27,,Cloudy,0.5,09:24,10:26,38
"Bayley Hills N (A) ",#1978,19.12,Bugle fluxapyroxad,19/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,19.12,1.00,22.75,19.12,Litres,434.98,,Cloudy,0.5,09:24,10:26,38
"Bayley Hills N (A) ",#1978,19.12,Alteril Excel 720 chlorothalonil,19/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,19.12,1.00,6.50,19.12,Litres,124.28,,Cloudy,0.5,09:24,10:26,38
Opposite Rhodes (Part A) Huntington,#3301,8.5,Prosaro Prothioconazale+Tebuco,19/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,8.50,0.60,20.86,5.10,Litres,177.33,,Cloudy,0.5,12:00,14:15,61
Opposite Rhodes (Part A) Huntington,#3301,8.5,Manzi,19/04/2017,Chemicals,Fungicides,Manzi,,Sean Lewis,8.50,2.00,7.08,17.00,Litres,60.18,,Cloudy,0.5,12:00,14:15,61
Opposite Rhodes (Part A) Huntington,#3301,8.5,Bugle fluxapyroxad,19/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,8.50,0.65,14.79,5.53,Litres,125.69,,Cloudy,0.5,12:00,14:15,61
Wellington Road (Part A) Huntington,#3291,4.84,Prosaro Prothioconazale+Tebuco,19/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,4.84,0.60,20.86,2.90,Litres,100.97,,Cloudy,0.5,12:00,14:15,61
Wellington Road (Part A) Huntington,#3291,4.84,Manzi,19/04/2017,Chemicals,Fungicides,Manzi,,Sean Lewis,4.84,2.00,7.08,9.68,Litres,34.27,,Cloudy,0.5,12:00,14:15,61
Wellington Road (Part A) Huntington,#3291,4.84,Bugle fluxapyroxad,19/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,4.84,0.65,14.79,3.15,Litres,71.57,,Cloudy,0.5,12:00,14:15,61
Back of Pub (Part A) Huntington,#3289,3.28,Prosaro Prothioconazale+Tebuco,19/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,2.97,0.60,20.86,1.78,Litres,61.96,,Cloudy,0.5,12:00,14:15,61
Back of Pub (Part A) Huntington,#3289,3.28,Manzi,19/04/2017,Chemicals,Fungicides,Manzi,,Sean Lewis,2.97,2.00,7.08,5.94,Litres,21.03,,Cloudy,0.5,12:00,14:15,61
Back of Pub (Part A) Huntington,#3289,3.28,Bugle fluxapyroxad,19/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,2.97,0.65,14.79,1.93,Litres,43.93,,Cloudy,0.5,12:00,14:15,61
Teal Pit,SJ6719 7888,5.57,Prosaro Prothioconazale+Tebuco,20/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,5.57,0.80,27.82,4.46,Litres,154.94,,Cloudy,0.4,14:06,14:44,38
Back Lane,SJ6720 6806,4.06,Prosaro Prothioconazale+Tebuco,20/04/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,4.06,0.80,27.82,3.25,Litres,112.93,,Cloudy,0.4,14:06,14:44,38
Teal Pit,SJ6719 7888,5.57,Belcocel 700 chlormequat,20/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,5.57,1.00,1.45,5.57,Litres,8.08,,Cloudy,0.4,14:06,14:44,38
Back Lane,SJ6720 6806,4.06,Belcocel 700 chlormequat,20/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,4.06,1.00,1.45,4.06,Litres,5.89,,Cloudy,0.4,14:06,14:44,38
Teal Pit,SJ6719 7888,5.57,Modan trinexapac-ethyl,20/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,5.57,0.10,3.10,0.56,Litres,17.27,,Cloudy,0.4,14:06,14:44,38
Back Lane,SJ6720 6806,4.06,Modan trinexapac-ethyl,20/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,4.06,0.10,3.10,0.41,Litres,12.59,,Cloudy,0.4,14:06,14:44,38
Teal Pit,SJ6719 7888,5.57,Bugle fluxapyroxad,20/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,5.57,0.80,18.20,4.46,Litres,101.37,,Cloudy,0.4,14:06,14:44,38
Back Lane,SJ6720 6806,4.06,Bugle fluxapyroxad,20/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,4.06,0.80,18.20,3.25,Litres,73.89,,Cloudy,0.4,14:06,14:44,38
Teal Pit,SJ6719 7888,5.57,Alteril Excel 720 chlorothalonil,20/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,5.57,1.00,6.50,5.57,Litres,36.21,,Cloudy,0.4,14:06,14:44,38
Back Lane,SJ6720 6806,4.06,Alteril Excel 720 chlorothalonil,20/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,4.06,1.00,6.50,4.06,Litres,26.39,,Cloudy,0.4,14:06,14:44,38
"Longwithy Field (Part A) ",#2137,6.5,Azural (glyphosate),20/04/2017,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,6.50,3.00,5.32,19.50,Litres,34.61,,,,,,
Near Cot Leasow (Part A),#5999,4.79,Crop Season Start Marker,20/04/2017,Events/Actions,Arable Events,Crop Season Start Marker,Maize,,,,,,,,,,,,,
Near Cot Leasow (Part A),#5999,4.79,Azural (glyphosate),20/04/2017,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,4.79,3.00,5.33,14.37,Litres,25.51,,,,,,
Upperwood Leasow (Split A),#5971,6.07,Ally Max SX metsulfuron-methyl,20/04/2017,Chemicals,Herbicide,Ally Max SX metsulfuron-methyl,,Sean Lewis,6.07,35.00,12.60,212.45,Gms,76.48,,Cloudy,0.4,11:00,12:25,38
Upperwood Leasow (Split A),#5971,6.07,Osiris P epoxiconazole metconazole,20/04/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,6.07,0.80,20.32,4.86,Litres,123.34,,Cloudy,0.4,11:00,12:25,38
Upperwood Leasow (Split A),#5971,6.07,Belcocel 700 chlormequat,20/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,6.07,1.00,1.45,6.07,Litres,8.80,,Cloudy,0.4,11:00,12:25,38
Upperwood Leasow (Split A),#5971,6.07,Modan trinexapac-ethyl,20/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,6.07,0.10,3.10,0.61,Litres,18.82,,Cloudy,0.4,11:00,12:25,38
Upperwood Leasow (Split A),#5971,6.07,Bugle fluxapyroxad,20/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,6.07,0.80,18.20,4.86,Litres,110.47,,Cloudy,0.4,11:00,12:25,38
Upperwood Leasow (Split A),#5971,6.07,Alteril Excel 720 chlorothalonil,20/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,6.07,1.00,6.50,6.07,Litres,39.46,,Cloudy,0.4,11:00,12:25,38
Far Broad Meadow (Part A),#1608,5.84,Ally Max SX metsulfuron-methyl,20/04/2017,Chemicals,Herbicide,Ally Max SX metsulfuron-methyl,,Sean Lewis,5.84,35.00,12.60,204.40,Gms,73.58,,Cloudy,0.4,11:00,12:25,38
Far Broad Meadow (Part A),#1608,5.84,Osiris P epoxiconazole metconazole,20/04/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,5.84,0.80,20.32,4.67,Litres,118.67,,Cloudy,0.4,11:00,12:25,38
Far Broad Meadow (Part A),#1608,5.84,Belcocel 700 chlormequat,20/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,5.84,1.00,1.45,5.84,Litres,8.47,,Cloudy,0.4,11:00,12:25,38
Far Broad Meadow (Part A),#1608,5.84,Modan trinexapac-ethyl,20/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,5.84,0.10,3.10,0.58,Litres,18.10,,Cloudy,0.4,11:00,12:25,38
Far Broad Meadow (Part A),#1608,5.84,Bugle fluxapyroxad,20/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,5.84,0.80,18.20,4.67,Litres,106.29,,Cloudy,0.4,11:00,12:25,38
Far Broad Meadow (Part A),#1608,5.84,Alteril Excel 720 chlorothalonil,20/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,5.84,1.00,6.50,5.84,Litres,37.96,,Cloudy,0.4,11:00,12:25,38
Crabtree Leasow (B),#4085,0.8,Azural (glyphosate),20/04/2017,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,0.80,3.00,5.32,2.40,Litres,4.26,,,,,,
Adney Brookside (Split A),#5956,3.9,Osiris P epoxiconazole metconazole,20/04/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,3.73,0.80,20.32,2.98,Litres,75.80,,Cloudy,0.2,09:18,10:44,38
Adney Brookside (Split A),#5956,3.9,Belcocel 700 chlormequat,20/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,3.73,1.00,1.45,3.73,Litres,5.41,,Cloudy,0.2,09:18,10:44,38
Adney Brookside (Split A),#5956,3.9,Modan trinexapac-ethyl,20/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,3.73,0.10,3.10,0.37,Litres,11.56,,Cloudy,0.2,09:18,10:44,38
Adney Brookside (Split A),#5956,3.9,Bugle fluxapyroxad,20/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,3.73,0.80,18.20,2.98,Litres,67.89,,Cloudy,0.2,09:18,10:44,38
Adney Brookside (Split A),#5956,3.9,Alteril Excel 720 chlorothalonil,20/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,3.73,1.00,6.50,3.73,Litres,24.25,,Cloudy,0.2,09:18,10:44,38
Large Marsh (Part A),#3476,4.67,Osiris P epoxiconazole metconazole,20/04/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,4.67,0.80,20.32,3.74,Litres,94.89,,Cloudy,0.2,09:18,10:44,38
Large Marsh (Part A),#3476,4.67,Belcocel 700 chlormequat,20/04/2017,Chemicals,Growth Regulators,Belcocel 700 chlormequat,,Sean Lewis,4.67,1.00,1.45,4.67,Litres,6.77,,Cloudy,0.2,09:18,10:44,38
Large Marsh (Part A),#3476,4.67,Modan trinexapac-ethyl,20/04/2017,Chemicals,Growth Regulators,Modan trinexapac-ethyl,,Sean Lewis,4.67,0.10,3.10,0.47,Litres,14.48,,Cloudy,0.2,09:18,10:44,38
Large Marsh (Part A),#3476,4.67,Bugle fluxapyroxad,20/04/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,4.67,0.80,18.20,3.74,Litres,84.99,,Cloudy,0.2,09:18,10:44,38
Large Marsh (Part A),#3476,4.67,Alteril Excel 720 chlorothalonil,20/04/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,4.67,1.00,6.50,4.67,Litres,30.36,,Cloudy,0.2,09:18,10:44,38
Adney Birchmoors,SJ6919 8929,10.76,Thistlex clopyralid + triclopyr,28/04/2017,Chemicals,Herbicide,Thistlex clopyralid + triclopyr,,Sean Lewis,10.76,1.00,16.33,10.76,Litres,175.71,,Cloudy,0.2,14:31,16:08,
Bayley Hills South,SJ7218 6292,12.43,Thistlex clopyralid + triclopyr,28/04/2017,Chemicals,Herbicide,Thistlex clopyralid + triclopyr,,Sean Lewis,6.08,1.00,16.33,6.08,Litres,99.29,Part,Cloudy,0.2,14:31,16:08,
Adney Birchmoors,SJ6919 8929,10.76,Hurler fluroxypyr,28/04/2017,Chemicals,Herbicide,Hurler fluroxypyr,,Sean Lewis,10.76,1.00,6.00,10.76,Litres,64.56,,Cloudy,0.2,14:31,16:08,
Bayley Hills South,SJ7218 6292,12.43,Hurler fluroxypyr,28/04/2017,Chemicals,Herbicide,Hurler fluroxypyr,,Sean Lewis,6.08,1.00,6.00,6.08,Litres,36.48,part,Cloudy,0.2,14:31,16:08,
Hinks,SJ7016 5869,1.93,Crop Season Start Marker,01/05/2017,Events/Actions,Arable Events,Crop Season Start Marker,Maize,,,,,,,,,,,,,
Fernill Bridge,SJ75695 22407,5.6,Crop Season Start Marker,01/05/2017,Events/Actions,Arable Events,Crop Season Start Marker,Maize,,,,,,,,,,,,,
Fernhill Pit,SJ76237 22844,16.16,Crop Season Start Marker,01/05/2017,Events/Actions,Arable Events,Crop Season Start Marker,Maize,,,,,,,,,,,,,
Motorway Steeraway,1624,7.82,Prosaro Prothioconazale+Tebuco,02/05/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,7.82,0.82,28.41,6.39,Litres,222.15,,Cloudy,0.4,14:32,16:52,
Oak Tree Huntington,8884,5.2,Prosaro Prothioconazale+Tebuco,02/05/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,4.99,0.16,5.70,0.82,Litres,28.44,,Clear,0.4,14:32,16:52,
Rough Huntington,5861,7.39,Prosaro Prothioconazale+Tebuco,02/05/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,6.68,0.82,28.41,5.46,Litres,189.77,,Clear,0.4,14:32,16:29,
Shepherds Huntington,0875,4.62,Prosaro Prothioconazale+Tebuco,02/05/2017,Chemicals,Fungicides,Prosaro Prothioconazale+Tebuco,,Sean Lewis,4.37,0.82,28.41,3.57,Litres,124.13,,Clear,0.4,14:32,16:52,
Horse Foxhole (Pt A),#4636,5.25,Sparticus Xpro tebuconazole prothioconazole bixafe,02/05/2017,Chemicals,Fungicides,Sparticus Xpro tebuconazole prothioconazole bixafe,,Sean Lewis,3.50,0.78,29.09,2.74,Litres,101.80,,Clear,0.4,11:00,12:04,
Poors Land (Part A),#3535,7.5,Sparticus Xpro tebuconazole prothioconazole bixafe,02/05/2017,Chemicals,Fungicides,Sparticus Xpro tebuconazole prothioconazole bixafe,,Sean Lewis,7.50,0.78,29.09,5.88,Litres,218.15,,Clear,0.4,11:00,12:04,
Lower New Works Steeraway,SJ6550,4.11,Headland Cereal Plus,03/05/2017,Chemicals,Trace Element,Headland Cereal Plus,,Sean Lewis,4.11,1.11,15.47,4.54,Litres,63.59,,Clear,0.5,10:09,11:19,69
Upper New Works Steeraway,SJ6600,13.99,Headland Cereal Plus,03/05/2017,Chemicals,Trace Element,Headland Cereal Plus,,Sean Lewis,13.99,1.11,15.47,15.46,Litres,216.43,,Clear,0.5,10:09,11:19,69
Lower New Works Steeraway,SJ6550,4.11,Osiris P epoxiconazole metconazole,03/05/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,4.11,0.75,19.05,3.08,Litres,78.31,,Clear,0.5,10:09,11:19,69
Upper New Works Steeraway,SJ6600,13.99,Osiris P epoxiconazole metconazole,03/05/2017,Chemicals,Fungicides,Osiris P epoxiconazole metconazole,,Sean Lewis,13.99,0.75,19.05,10.49,Litres,266.52,,Clear,0.5,10:09,11:19,69
Lower New Works Steeraway,SJ6550,4.11,Bugle fluxapyroxad,03/05/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,4.11,0.80,18.20,3.29,Litres,74.80,,Clear,0.5,10:09,11:19,69
Upper New Works Steeraway,SJ6600,13.99,Bugle fluxapyroxad,03/05/2017,Chemicals,Fungicides,Bugle fluxapyroxad,,Sean Lewis,13.99,0.80,18.20,11.19,Litres,254.62,,Clear,0.5,10:09,11:19,69
Lower New Works Steeraway,SJ6550,4.11,Alteril Excel 720 chlorothalonil,03/05/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,4.11,0.55,3.59,2.27,Litres,14.75,,Clear,0.5,10:09,11:19,69
Upper New Works Steeraway,SJ6600,13.99,Alteril Excel 720 chlorothalonil,03/05/2017,Chemicals,Fungicides,Alteril Excel 720 chlorothalonil,,Sean Lewis,13.99,0.55,3.59,7.72,Litres,50.19,,Clear,0.5,10:09,11:19,69
Buttery Hill (A),#8502,10.92,TSP 0N 46P 0K (del June 2016),03/05/2017,Fertilizers,Fertilizers,TSP 0N 46P 0K (del June 2016),,Chris Ruffley,10.92,110.00,28.16,1201.20,Kgs,307.51,,,,,,
Buttery Hill (A),#8502,10.92,Rodriguez 2017 Mesurol,03/05/2017,Seeds,Maize,Rodriguez 2017 Mesurol,,Chris Ruffley,10.92,2.07,158.35,22.60,Pack,1729.21,,,,,,
First Foxhole,SJ7120 4205,2.12,Rotavate,04/05/2017,Events/Actions,Arable Physical Actions,Rotavate,,Sean Lewis,1.00,0.00,0.00,0.00,Hctr,0.00,,,,,,
Upperwood Leasow (Split A),#5971,6.07,Yara Prilled 34.5% del Nov 2016,04/05/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,6.07,243.00,44.23,1475.01,Kgs,268.45,,,,,,
Black Britch (Split A),#5966,6.65,Yara Prilled 34.5% del Nov 2016,04/05/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,6.65,232.00,42.22,1542.80,Kgs,280.79,,,,,,
Far Broad Meadow (Part A),#1608,5.84,Yara Prilled 34.5% del Nov 2016,04/05/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,5.84,171.00,31.12,998.64,Kgs,181.75,,,,,,
Large Marsh (Part B),#3477,3.12,Fertiliser,04/05/2017,Events/Actions,Arable Physical Actions,Fertiliser,,Sean Lewis,3.12,1.00,0.00,3.12,Hctr,0.00,,,,,,
Large Marsh (Part A),#3476,4.67,Yara Prilled 34.5% del Nov 2016,04/05/2017,Fertilizers,Fertilizers,Yara Prilled 34.5% del Nov 2016,,Sean Lewis,4.67,260.00,47.32,1214.20,Kgs,220.98,,,,,,
